[2026-06-07 09:22:32] --- NEW SESSION STARTED ---
[2026-06-07 09:22:41] 192.168.29.46:5351 -> 52.105.246.53:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (48 Packets)
[2026-06-07 09:22:42] 192.168.29.46:5350 -> 13.107.137.11:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (49 Packets)
[2026-06-07 09:22:42] 192.168.29.46:5350 -> 13.107.137.11:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (50 Packets)
[2026-06-07 09:22:43] 192.168.29.46:5350 -> 13.107.137.11:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (51 Packets)
[2026-06-07 09:22:43] 192.168.29.46:5351 -> 52.105.246.53:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (52 Packets)
[2026-06-07 09:22:43] 192.168.29.46:5351 -> 52.105.246.53:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (53 Packets)
[2026-06-07 09:22:43] 192.168.29.46:5351 -> 52.105.246.53:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (54 Packets)
[2026-06-07 09:22:44] 192.168.29.46:5350 -> 13.107.137.11:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (55 Packets)
[2026-06-07 09:22:44] 192.168.29.46:5350 -> 13.107.137.11:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (56 Packets)
[2026-06-07 09:22:44] 192.168.29.46:5350 -> 13.107.137.11:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (57 Packets)
[2026-06-07 09:22:44] 192.168.29.46:5351 -> 52.105.246.53:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (58 Packets)
[2026-06-07 09:22:44] 192.168.29.46:5351 -> 52.105.246.53:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (59 Packets)
[2026-06-07 09:22:44] 192.168.29.46:5351 -> 52.105.246.53:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (60 Packets)
[2026-06-07 09:22:45] 192.168.29.46:5350 -> 13.107.137.11:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (61 Packets)
[2026-06-07 09:22:45] 192.168.29.46:5350 -> 13.107.137.11:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (62 Packets)
[2026-06-07 09:22:45] 192.168.29.46:5350 -> 13.107.137.11:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (63 Packets)
[2026-06-07 09:22:45] 192.168.29.46:5350 -> 13.107.137.11:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (64 Packets)
[2026-06-07 09:22:45] 192.168.29.46:5351 -> 52.105.246.53:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (65 Packets)
[2026-06-07 09:22:46] 192.168.29.46:5351 -> 52.105.246.53:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (66 Packets)
[2026-06-07 09:22:46] 192.168.29.46:8017 -> 20.205.69.80:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (67 Packets)
